com.samsung.health.step_count
time_offset,end_time,speed,pkg_name,start_time,count,sample_position_type,calorie,distance,datauuid,deviceuuid,update_time,create_time
-14400000,2016-07-13 00:24:00.000,1.8443378,com.sec.android.app.shealth,2016-07-13 00:23:00.000,27,,1.2200003,22.890001,56e52310-29e7-48dd-a118-dfcf1ef8c79a,SD5aE64hxX,2016-07-13 00:23:50.223,2016-07-13 00:23:45.253
-14400000,2016-07-13 00:47:00.000,2.1627262,com.sec.android.app.shealth,2016-07-13 00:46:00.000,28,,1.2400001,24.78,c27de7b4-2971-4ef2-8141-57f84f940b43,SD5aE64hxX,2016-07-13 00:46:54.512,2016-07-13 00:46:44.612
-14400000,2016-07-13 00:48:00.000,1.7799692,com.sec.android.app.shealth,2016-07-13 00:47:00.000,27,,0.99000007,22.02,9a4b7af0-fde7-4a45-8a26-4f73e2f13fa7,SD5aE64hxX,2016-07-13 00:55:01.356,2016-07-13 00:47:32.814
-14400000,2016-07-13 01:16:00.000,0.0,com.sec.android.app.shealth,2016-07-13 01:15:00.000,0,,0.0,0.0,582bbd18-8aab-4455-94fd-9a80eb750164,SD5aE64hxX,2016-07-13 01:15:01.261,2016-07-13 01:15:01.261
-14400000,2016-07-13 08:37:00.000,2.5555556,com.sec.android.app.shealth,2016-07-13 08:36:00.000,9,,0.96,12.91,ef2267a8-92e9-4792-ac8f-b245d63e0cc7,SD5aE64hxX,2016-07-13 08:45:34.949,2016-07-13 08:45:34.949
-14400000,2016-07-13 08:45:00.000,2.0277777,com.sec.android.app.shealth,2016-07-13 08:44:00.000,11,,0.43,9.02,659b83ef-3a90-48e6-8e0e-804761e276cf,SD5aE64hxX,2016-07-13 08:45:35.389,2016-07-13 08:45:35.389
-14400000,2016-07-13 08:46:00.000,1.6092441,com.sec.android.app.shealth,2016-07-13 08:45:00.000,55,,2.4799998,46.19,4b2c7b0d-2008-4d28-8994-58d9de504adf,SD5aE64hxX,2016-07-13 08:55:00.607,2016-07-13 08:45:35.557
-14400000,2016-07-13 08:47:00.000,1.5555556,com.sec.android.app.shealth,2016-07-13 08:46:00.000,21,,0.84,16.71,442dffd8-948f-4190-ac04-9628469077a5,SD5aE64hxX,2016-07-13 08:55:00.868,2016-07-13 08:55:00.868
-14400000,2016-07-13 08:48:00.000,1.75,com.sec.android.app.shealth,2016-07-13 08:47:00.000,36,,1.8,31.48,4dbf3c2f-1e63-48ab-ab67-eb5c784692a5,SD5aE64hxX,2016-07-13 08:55:01.008,2016-07-13 08:55:01.008
-14400000,2016-07-13 08:52:00.000,2.111111,com.sec.android.app.shealth,2016-07-13 08:51:00.000,52,,2.86,48.89,d80fde1f-2f0c-4560-ba9b-120d8a56bc94,SD5aE64hxX,2016-07-13 08:55:01.160,2016-07-13 08:55:01.160
